TIMESTAMP,RECORD,Temp_Avg,RH_Avg,Temp_Std,RH_Std
2023/6/2 0:00,3840,11.0552,23.0247,0.01488491,2.490157
2023/6/2 0:05,3841,11.0612,20.8971,0.03002589,1.802577
2023/6/2 0:10,3842,11.0572,24.0569,0.01894093,1.979254
2023/6/2 0:15,3843,11.0399,21.1755,0.01428582,2.016529
2023/6/2 0:20,3844,11.0401,22.2261,0.01902324,3.037922
2023/6/2 0:25,3845,11.0415,23.5385,0.01947945,2.170825
2023/6/2 0:30,3846,11.0303,20.4298,0.02773096,1.451761
2023/6/2 0:35,3847,11.0333,23.6105,0.01998502,2.219664
2023/6/2 0:40,3848,11.0121,21.7597,0.01330752,2.270175
2023/6/2 0:45,3849,11.0385,21.7518,0.02251763,2.921687
2023/6/2 0:50,3850,11.0216,23.8423,0.01215066,1.87233
2023/6/2 0:55,3851,10.9896,20.6429,0.02492469,1.342467
2023/6/2 1:00,3852,11.065,23.2965,0.02777053,2.681259
2023/6/2 1:05,3853,11.0499,22.4065,0.01198706,2.466024
2023/6/2 1:10,3854,11.0555,21.3533,0.02345749,2.438636
2023/6/2 1:15,3855,11.0526,24.0256,0.01917914,1.741224
2023/6/2 1:20,3856,11.0064,20.728,0.01785607,1.688677
2023/6/2 1:25,3857,11.0287,22.7855,0.02776334,2.860029
2023/6/2 1:30,3858,11.0108,23.3272,0.01359264,2.312659
2023/6/2 1:35,3859,11.0297,20.7014,0.01264943,1.657829
2023/6/2 1:40,3860,11.0441,23.9113,0.01950598,1.960306
2023/6/2 1:45,3861,11.0256,21.2581,0.01161196,2.096783
2023/6/2 1:50,3862,11.0217,22.2189,0.01361645,2.926323
2023/6/2 1:55,3863,11.0131,23.7114,0.02096871,2.011293
2023/6/2 2:00,3864,10.9856,20.4146,0.02032834,1.354881
2023/6/2 2:05,3865,11.0151,23.2956,0.0225895,2.34808
2023/6/2 2:10,3866,10.9365,21.879,0.02204197,2.367927
2023/6/2 2:15,3867,10.9795,21.7095,0.01707789,2.87452
2023/6/2 2:20,3868,11.0004,23.9179,0.02504881,1.807643
2023/6/2 2:25,3869,10.9768,20.59,0.01886696,1.384962
2023/6/2 2:30,3870,10.9826,23.2756,0.01989577,2.669637
2023/6/2 2:35,3871,10.9548,22.451,0.01228648,2.413723
2023/6/2 2:40,3872,10.9668,21.3745,0.006368913,2.529018
2023/6/2 2:45,3873,10.9882,24.0043,0.01250429,1.691449
2023/6/2 2:50,3874,10.9807,20.3955,0.01136709,1.526464
2023/6/2 2:55,3875,10.978,23.0666,0.01289194,2.749982
2023/6/2 3:00,3876,10.966,22.5707,0.0166253,2.424799
2023/6/2 3:05,3877,10.9531,21.1839,0.03020741,2.308692
2023/6/2 3:10,3878,10.9516,24.1679,0.01575547,1.634597
2023/6/2 3:15,3879,10.9062,20.6306,0.01460009,1.595011
2023/6/2 3:20,3880,10.9376,22.9149,0.02595836,2.863215
2023/6/2 3:25,3881,10.918,22.8051,0.01457408,2.470516
2023/6/2 3:30,3882,10.9308,20.9392,0.02009367,2.359
2023/6/2 3:35,3883,10.9107,23.9539,0.0124183,1.682413
2023/6/2 3:40,3884,10.8877,20.6798,0.01371163,1.632429
2023/6/2 3:45,3885,10.9249,22.9288,0.01328494,2.914748
2023/6/2 3:50,3886,10.9219,22.7469,0.01144073,2.479315
2023/6/2 3:55,3887,10.9119,21.2606,0.02869301,2.390485
2023/6/2 4:00,3888,10.9168,24.1415,0.03175149,1.694316
2023/6/2 4:05,3889,10.9093,20.6765,0.02159659,1.587249
2023/6/2 4:10,3890,10.9017,22.8671,0.03847355,2.843955
2023/6/2 4:15,3891,10.8383,23.0042,0.02510018,2.436896
2023/6/2 4:20,3892,10.8314,21.1995,0.03526829,2.151687
2023/6/2 4:25,3893,10.8547,24.2331,0.02957042,1.678981
2023/6/2 4:30,3894,10.8618,21.0321,0.01311339,1.772086
2023/6/2 4:35,3895,10.8759,22.747,0.02443122,3.022459
2023/6/2 4:40,3896,10.849,23.163,0.02635144,2.394751
2023/6/2 4:45,3897,10.8707,21.1116,0.02608845,2.107823
2023/6/2 4:50,3898,10.9545,59.9327,0.01409419,11.23163
2023/6/2 4:55,3899,10.9757,35.0483,0.02211365,1.305634
2023/6/2 5:00,3900,11.002,25.54,0.01737819,3.964384
2023/6/2 5:05,3901,11.0016,27.3098,0.02899367,1.955772
2023/6/2 5:10,3902,10.9905,22.3799,0.02168523,1.496708
2023/6/2 5:15,3903,11.0023,25.5818,0.01712333,3.021144
2023/6/2 5:20,3904,10.966,23.5342,0.01761248,2.584952
2023/6/2 5:25,3905,10.9784,22.4987,0.03548585,3.013524
2023/6/2 5:30,3906,10.9716,25.2189,0.02654119,1.938482
2023/6/2 5:35,3907,10.9337,20.9936,0.03652956,1.430032
2023/6/2 5:40,3908,10.904,24.4513,0.0111984,2.691054
2023/6/2 5:45,3909,10.8908,22.9254,0.01723253,2.578714
2023/6/2 5:50,3910,10.8556,22.4916,0.03065364,2.908323
2023/6/2 5:55,3911,10.8486,25.0882,0.02663538,1.913452
2023/6/2 6:00,3912,10.8284,21.0968,0.02302271,1.387568
2023/6/2 6:05,3913,10.8768,24.2093,0.0231896,2.793718
2023/6/2 6:10,3914,10.8212,22.5705,0.01483796,2.536209
2023/6/2 6:15,3915,10.8136,22.7244,0.03682994,3.149134
2023/6/2 6:20,3916,10.8235,24.6294,0.03335353,2.053322
2023/6/2 6:25,3917,10.7857,21.0341,0.02732413,1.399061
2023/6/2 6:30,3918,10.8156,24.476,0.01981527,2.458351
2023/6/2 6:35,3919,10.79,21.9686,0.01379115,2.289542
2023/6/2 6:40,3920,10.8127,22.6285,0.0256282,3.266763
2023/6/2 6:45,3921,10.7631,24.1442,0.01098603,2.310045
2023/6/2 6:50,3922,10.7297,21.1908,0.01736121,1.527211
2023/6/2 6:55,3923,10.7629,24.5942,0.02280558,2.092152
2023/6/2 7:00,3924,10.7237,21.6563,0.0181055,2.034187
2023/6/2 7:05,3925,10.787,22.9983,0.01796086,3.186588
