TIMESTAMP,RECORD,Temp_Avg,Temp_Std,RH_Avg,RH_Std
2024/3/2 0:00,2689,32.0896,0.009717741,25.8827,0.02034713
2024/3/2 0:05,2690,32.1011,0.009903652,25.8832,0.02022284
2024/3/2 0:10,2691,32.1176,0.01225754,25.8599,0.02562961
2024/3/2 0:15,2692,32.12009,0.01015371,25.859,0.02440069
2024/3/2 0:20,2693,32.1373,0.01046008,25.8408,0.01826932
2024/3/2 0:25,2694,32.1345,0.008003303,25.8195,0.01797395
2024/3/2 0:30,2695,32.1457,0.01136691,25.8065,0.02460216
2024/3/2 0:35,2696,32.1283,0.01636496,25.7705,0.01475972
2024/3/2 0:40,2697,32.124,0.01007013,25.7402,0.02171518
2024/3/2 0:45,2698,32.1169,0.01422286,25.7257,0.0279821
2024/3/2 0:50,2699,32.1171,0.01544963,25.7335,0.01992584
2024/3/2 0:55,2700,32.097,0.01058253,25.7643,0.01874085
2024/3/2 1:00,2701,32.1055,0.01458902,25.7885,0.01563506
2024/3/2 1:05,2702,32.098,0.01408519,25.8097,0.01184117
2024/3/2 1:10,2703,32.1039,0.01587711,25.8123,0.03976466
2024/3/2 1:15,2704,32.0943,0.01732635,25.8182,0.01937931
2024/3/2 1:20,2705,32.0913,0.02046026,25.8216,0.02258407
2024/3/2 1:25,2706,32.0908,0.006415578,25.8016,0.02364806
2024/3/2 1:30,2707,32.097,0.01058253,25.8097,0.0176468
2024/3/2 1:35,2708,32.1012,0.01483741,25.8034,0.01663247
2024/3/2 1:40,2709,32.0973,0.01376952,25.821,0.01687602
2024/3/2 1:45,2710,32.1143,0.01117165,25.8144,0.02354267
2024/3/2 1:50,2711,32.114,0.01538823,25.8455,0.0219376
2024/3/2 1:55,2712,32.1323,0.01653517,25.8546,0.01471888
2024/3/2 2:00,2713,32.1472,0.01160819,25.8247,0.0177035
2024/3/2 2:05,2714,32.1575,0.01718255,25.7804,0.02384183
2024/3/2 2:10,2715,32.16619,0.01571468,25.737,0.01772566
2024/3/2 2:15,2716,32.1648,0.01028364,25.7364,0.01332101
2024/3/2 2:20,2717,32.1635,0.009024573,25.7623,0.0221815
2024/3/2 2:25,2718,32.1502,0.01243172,25.7669,0.01281711
2024/3/2 2:30,2719,32.1372,0.008541793,25.8134,0.02899395
2024/3/2 2:35,2720,32.1441,0.009170139,25.7989,0.02626206
2024/3/2 2:40,2721,32.1321,0.01367104,25.7891,0.0251177
2024/3/2 2:45,2722,32.1336,0.01527219,25.8041,0.02341982
2024/3/2 2:50,2723,32.1227,0.007000977,25.8147,0.01346181
2024/3/2 2:55,2724,32.1277,0.01509347,25.8431,0.01705571
2024/3/2 3:00,2725,32.1143,0.01259398,25.8751,0.01678352
2024/3/2 3:05,2726,32.12009,0.008324374,25.8971,0.01882209
2024/3/2 3:10,2727,32.1159,0.0109495,25.8975,0.01940705
2024/3/2 3:15,2728,32.1143,0.01259398,25.8917,0.0166913
2024/3/2 3:20,2729,32.1114,0.01200973,25.9036,0.02206416
2024/3/2 3:25,2730,32.1284,0.01749406,25.8738,0.02801001
2024/3/2 3:30,2731,32.1214,0.005200195,25.8554,0.01292449
2024/3/2 3:35,2732,32.1226,0.01669265,25.8644,0.01492747
2024/3/2 3:40,2733,32.112,0.007641884,25.8734,0.01902181
2024/3/2 3:45,2734,32.1117,0.01007005,25.8565,0.03336838
2024/3/2 3:50,2735,32.1088,0.01181338,25.8759,0.01580786
2024/3/2 3:55,2736,32.1014,0.01621192,25.8934,0.02207784
2024/3/2 4:00,2737,32.0986,0.01876786,25.9068,0.01419019
2024/3/2 4:05,2738,32.094,0.01043991,25.9171,0.01835485
2024/3/2 4:10,2739,32.0884,0.01292432,25.9239,0.01608407
2024/3/2 4:15,2740,32.09,0.01867647,25.9262,0.01880358
2024/3/2 4:20,2741,32.0955,0.01460953,25.9216,0.01180869
2024/3/2 4:25,2742,32.0843,0.01806157,25.9247,0.01982493
2024/3/2 4:30,2743,32.0871,0.01338955,25.9379,0.02049631
2024/3/2 4:35,2744,32.0839,0.01431444,25.9301,0.02255898
2024/3/2 4:40,2745,32.0942,0.01944614,25.9084,0.02174503
2024/3/2 4:45,2746,32.091,0.01413496,25.9075,0.01896452
2024/3/2 4:50,2747,32.0854,0.01060391,25.9286,0.02031376
2024/3/2 4:55,2748,32.0942,0.01632023,25.9501,0.02312348
2024/3/2 5:00,2749,32.1031,0.01362635,25.976,0.01732616
2024/3/2 5:05,2750,32.1075,0.009024572,25.9829,0.01276236
2024/3/2 5:10,2751,32.1146,0.00895763,25.9768,0.0182029
2024/3/2 5:15,2752,32.1241,0.01320227,26.001,0.03115107
2024/3/2 5:20,2753,32.1347,0.01310791,25.9812,0.02653942
2024/3/2 5:25,2754,32.1389,0.01449447,25.9531,0.03003809
2024/3/2 5:30,2755,32.15,0.01485913,25.9396,0.01063171
2024/3/2 5:35,2756,32.1516,0.01162879,25.9409,0.02513721
2024/3/2 5:40,2757,32.1628,0.01661782,25.9302,0.01455189
2024/3/2 5:45,2758,32.1457,0.01136691,25.9365,0.02276068
2024/3/2 5:50,2759,32.1487,0.01256994,25.9341,0.01966929
2024/3/2 5:55,2760,32.1305,0.008720992,25.9392,0.01639396
2024/3/2 6:00,2761,32.1224,0.01149958,25.9441,0.02979464
2024/3/2 6:05,2762,32.1305,0.008720992,25.9718,0.02286422
