tag,collection_date,Round,measurement_date,sp,treatment,segment_location,segment,mass_w_parafilm,hour,minute
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0812,7,58
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0763,7,54
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,5.0994,7,50
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.5774,7,38
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1451,7,31
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4437,7,25
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.7294,7,39
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.262,7,32
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.2083,8,27
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3968,8,18
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.3142,8,6
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9813,8,29
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5796,8,15
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.7012,8,47
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2895,8,37
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2396,8,7
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.1874,8,47
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3879,8,37
23,2023.06.01,1,2023.06.02,MG,10C,A,023A,4.5244,9,25
23,2023.06.01,1,2023.06.02,MG,25C,B,023B,5.1481,9,33
23,2023.06.01,1,2023.06.02,MG,35C,C,023C,4.4111,9,40
23,2023.06.01,1,2023.06.02,MG,45C,D,023D,5.6326,9,56
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.8322,9,6
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3783,9,1
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.5211,9,56
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.569,9,36
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8812,9,27
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.154,9,44
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7876,9,38
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.094,10,3
7,2023.06.01,1,2023.06.02,TD,10C,A,007A,2.0346,10,26
1,2023.06.01,1,2023.06.02,CC,25C,B,001B,4.1211,10,8
1,2023.06.01,1,2023.06.02,CC,35C,C,001C,3.7697,10,15
7,2023.06.01,1,2023.06.02,TD,35C,C,007C,5.3222,10,44
7,2023.06.01,1,2023.06.02,TD,45C,D,007D,1.6851,10,55
1,2023.06.01,1,2023.06.02,CC,45C,D,001D,4.2118,10,21
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1794,10,39
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3869,10,43
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.807,10,38
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3678,10,42
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.2449,10,38
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0456,10,41
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.974,10,46
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5757,10,50
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6889,10,46
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2815,10,49
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2222,10,45
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0594,10,49
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,5.0487,10,34
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.1369,10,35
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3645,10,35
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.4716,10,36
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5587,10,48
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8785,10,51
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.4999,10,35
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1185,10,47
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4276,10,50
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6865,10,39
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.2052,10,43
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.1374,10,37
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7743,10,44
10,2023.06.13,3,2023.06.14,TD,10C,A,010A,2.2802,10,55
10,2023.06.13,3,2023.06.14,TD,35C,C,010C,1.6533,10,59
25,2023.06.20,4,2023.06.21,LS,35C,C,025C,2.4928,10,55
20,2023.06.27,5,2023.06.28,PE,10C,A,020A,2.9956,10,52
20,2023.06.27,5,2023.06.28,PE,35C,C,020C,2.7927,10,46
20,2023.06.27,5,2023.06.28,PE,45C,D,020D,2.9943,10,58
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9187,11,9
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.893,11,18
7,2023.06.01,1,2023.06.02,TD,25C,B,007B,2.9077,11,0
16,2023.06.01,1,2023.06.02,PE,10C,A,016A,5.5802,11,26
16,2023.06.01,1,2023.06.02,PE,25C,B,016B,4.0115,11,33
24,2023.06.01,1,2023.06.02,LS,35C,C,024C,3.7723,11,27
24,2023.06.01,1,2023.06.02,LS,45C,D,024D,2.9483,11,36
16,2023.06.01,1,2023.06.02,PE,35C,C,016C,4.5767,11,41
16,2023.06.01,1,2023.06.02,PE,45C,D,016D,4.0633,11,47
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1671,11,8
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1475,11,37
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3839,11,12
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3809,11,41
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7966,11,8
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7802,11,36
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3628,11,11
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3585,11,40
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.2286,11,7
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.1827,11,36
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0362,11,11
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0276,11,39
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9723,11,16
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9708,11,45
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5734,11,19
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5713,11,48
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6858,11,15
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6832,11,44
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2794,11,19
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2772,11,48
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2186,11,14
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2154,11,44
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0563,11,18
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0532,11,47
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,5.0194,11,3
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.9932,11,32
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.9724,11,57
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.1122,11,4
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.0894,11,33
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.0709,11,57
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3506,11,4
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3372,11,33
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3267,11,58
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.424,11,6
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.3795,11,34
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.3436,11,59
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5542,11,17
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.55,11,46
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.876,11,21
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8729,11,50
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.4651,11,5
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.4298,11,34
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.4047,11,58
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1161,11,16
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1144,11,45
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4257,11,20
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4227,11,49
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6778,11,9
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6613,11,38
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.1931,11,13
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.1841,11,42
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.1258,11,9
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.1051,11,38
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7671,11,13
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7601,11,42
6,2023.06.13,3,2023.06.14,MG,10C,A,006A,3.0013,11,32
6,2023.06.13,3,2023.06.14,MG,25C,B,006B,2.7646,11,38
6,2023.06.13,3,2023.06.14,MG,35C,C,006C,3.6395,11,34
6,2023.06.13,3,2023.06.14,MG,45C,D,006D,4.5239,11,45
6,2023.06.13,3,2023.06.14,MG,55C,E,006E,3.3041,11,44
10,2023.06.13,3,2023.06.14,TD,25C,B,010B,1.8502,11,2
10,2023.06.13,3,2023.06.14,TD,45C,D,010D,2.0202,11,11
18,2023.06.13,3,2023.06.14,PE,10C,A,018A,5.3456,11,54
18,2023.06.13,3,2023.06.14,PE,55C,E,018E,6.55,11,52
22,2023.06.13,3,2023.06.14,LS,10C,A,022A,2.2297,11,21
22,2023.06.13,3,2023.06.14,LS,25C,B,022B,2.7854,11,21
22,2023.06.13,3,2023.06.14,LS,35C,C,022C,1.8344,11,20
22,2023.06.13,3,2023.06.14,LS,45C,D,022D,2.1336,11,25
22,2023.06.13,3,2023.06.14,LS,55C,E,022E,1.7509,11,13
12,2023.06.20,4,2023.06.21,TD,10C,A,012A,2.398,11,52
12,2023.06.20,4,2023.06.21,TD,35C,C,012C,4.5868,11,57
19,2023.06.20,4,2023.06.21,PE,10C,A,019A,5.5994,11,29
19,2023.06.20,4,2023.06.21,PE,25C,B,019B,3.5647,11,44
19,2023.06.20,4,2023.06.21,PE,35C,C,019C,4.1778,11,33
19,2023.06.20,4,2023.06.21,PE,45C,D,019D,4.1616,11,40
19,2023.06.20,4,2023.06.21,PE,55C,E,019E,4.5889,11,26
25,2023.06.20,4,2023.06.21,LS,10C,A,025A,3.1319,11,1
25,2023.06.20,4,2023.06.21,LS,25C,B,025B,2.0635,11,15
25,2023.06.20,4,2023.06.21,LS,45C,D,025D,3.2819,11,8
25,2023.06.20,4,2023.06.21,LS,55C,E,025E,2.3038,11,16
11,2023.06.27,5,2023.06.28,TD,10C,A,011A,3.2011,11,45
11,2023.06.27,5,2023.06.28,TD,25C,B,011B,4.2201,11,56
11,2023.06.27,5,2023.06.28,TD,35C,C,011C,2.8327,11,41
11,2023.06.27,5,2023.06.28,TD,45C,D,011D,2.9864,11,51
13,2023.06.27,5,2023.06.28,MG,10C,A,013A,3.5966,11,19
13,2023.06.27,5,2023.06.28,MG,25C,B,013B,4.0289,11,29
13,2023.06.27,5,2023.06.28,MG,35C,C,013C,4.3362,11,25
13,2023.06.27,5,2023.06.28,MG,45C,D,013D,4.4014,11,31
13,2023.06.27,5,2023.06.28,MG,55C,E,013E,5.9386,11,17
20,2023.06.27,5,2023.06.28,PE,25C,B,020B,2.9834,11,6
20,2023.06.27,5,2023.06.28,PE,55C,E,020E,2.7781,11,8
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3861,12,35
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0923,12,57
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9141,12,59
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8824,12,55
7,2023.06.01,1,2023.06.02,TD,10C,A,007A,2.0111,12,58
7,2023.06.01,1,2023.06.02,TD,25C,B,007B,2.897,12,53
16,2023.06.01,1,2023.06.02,PE,10C,A,016A,5.5505,12,58
16,2023.06.01,1,2023.06.02,PE,25C,B,016B,3.9872,12,54
23,2023.06.01,1,2023.06.02,MG,10C,A,023A,4.5087,12,58
23,2023.06.01,1,2023.06.02,MG,25C,B,023B,5.111,12,53
1,2023.06.01,1,2023.06.02,CC,25C,B,001B,4.1093,12,56
1,2023.06.01,1,2023.06.02,CC,35C,C,001C,3.7584,12,50
24,2023.06.01,1,2023.06.02,LS,35C,C,024C,3.7595,12,52
24,2023.06.01,1,2023.06.02,LS,45C,D,024D,2.9343,12,49
7,2023.06.01,1,2023.06.02,TD,35C,C,007C,5.2909,12,51
7,2023.06.01,1,2023.06.02,TD,45C,D,007D,1.6617,12,47
16,2023.06.01,1,2023.06.02,PE,35C,C,016C,4.5443,12,51
16,2023.06.01,1,2023.06.02,PE,45C,D,016D,4.0181,12,48
23,2023.06.01,1,2023.06.02,MG,35C,C,023C,4.3737,12,52
23,2023.06.01,1,2023.06.02,MG,45C,D,023D,5.5865,12,48
1,2023.06.01,1,2023.06.02,CC,45C,D,001D,4.1963,12,47
1,2023.06.01,1,2023.06.02,CC,55C,E,001E,4.4597,12,35
7,2023.06.01,1,2023.06.02,TD,55C,E,007E,3.0899,12,36
24,2023.06.01,1,2023.06.02,LS,55C,E,024E,2.8715,12,38
16,2023.06.01,1,2023.06.02,PE,55C,E,016E,8.0869,12,39
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1368,12,1
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1246,12,31
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3785,12,4
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3755,12,34
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7715,12,0
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7612,12,31
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3551,12,4
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3506,12,34
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.164,12,0
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.1423,12,30
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0207,12,3
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0118,12,33
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9689,12,8
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9676,12,37
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5707,12,12
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5677,12,41
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6808,12,7
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6783,12,37
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2771,12,11
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2744,12,40
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2126,12,7
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.2092,12,36
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0509,12,10
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0477,12,39
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.9465,12,27
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.046,12,28
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.3127,12,28
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.2984,12,29
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5468,12,9
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5422,12,38
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8696,12,13
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.867,12,42
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.3709,12,28
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1129,12,8
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1108,12,38
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4234,12,13
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4197,12,41
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6549,12,1
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6471,12,32
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.1772,12,5
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.1679,12,35
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.094,12,2
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.0815,12,32
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7546,12,5
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.747,12,35
15,2023.06.13,3,2023.06.14,CC,10C,A,015A,4.7635,12,15
15,2023.06.13,3,2023.06.14,CC,25C,B,015B,4.1238,12,28
15,2023.06.13,3,2023.06.14,CC,35C,C,015C,4.828,12,17
15,2023.06.13,3,2023.06.14,CC,45C,D,015D,3.4861,12,25
18,2023.06.13,3,2023.06.14,PE,25C,B,018B,5.3105,12,5
18,2023.06.13,3,2023.06.14,PE,35C,C,018C,6.0722,12,0
18,2023.06.13,3,2023.06.14,PE,45C,D,018D,6.5393,12,8
3,2023.06.20,4,2023.06.21,CC,10C,A,003A,4.0414,12,24
3,2023.06.20,4,2023.06.21,CC,25C,B,003B,5.29,12,33
3,2023.06.20,4,2023.06.21,CC,35C,C,003C,7.5212,12,22
3,2023.06.20,4,2023.06.21,CC,45C,D,003D,2.6856,12,30
3,2023.06.20,4,2023.06.21,CC,55C,E,003E,3.3262,12,44
5,2023.06.20,4,2023.06.21,MG,10C,A,005A,4.8909,12,43
5,2023.06.20,4,2023.06.21,MG,25C,B,005B,2.9701,12,49
5,2023.06.20,4,2023.06.21,MG,35C,C,005C,3.4461,12,54
12,2023.06.20,4,2023.06.21,TD,25C,B,012B,4.9385,12,2
12,2023.06.20,4,2023.06.21,TD,45C,D,012D,1.9639,12,11
12,2023.06.20,4,2023.06.21,TD,55C,E,012E,3.9798,12,12
2,2023.06.27,5,2023.06.28,CC,10C,A,002A,3.8111,12,46
2,2023.06.27,5,2023.06.28,CC,25C,B,002B,3.6999,12,59
2,2023.06.27,5,2023.06.28,CC,35C,C,002C,3.9598,12,40
2,2023.06.27,5,2023.06.28,CC,45C,D,002D,4.9008,12,49
2,2023.06.27,5,2023.06.28,CC,55C,E,002E,4.8964,12,59
4,2023.06.27,5,2023.06.28,LS,10C,A,004A,4.496,12,15
4,2023.06.27,5,2023.06.28,LS,25C,B,004B,3.0693,12,24
4,2023.06.27,5,2023.06.28,LS,35C,C,004C,3.4803,12,30
4,2023.06.27,5,2023.06.28,LS,45C,D,004D,3.3874,12,31
4,2023.06.27,5,2023.06.28,LS,55C,E,004E,4.4631,12,13
11,2023.06.27,5,2023.06.28,TD,55C,E,011E,2.7,12,0
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.3749,13,5
23,2023.06.01,1,2023.06.02,MG,55C,E,023E,3.35,13,45
1,2023.06.01,1,2023.06.02,CC,10C,A,001A,3.0919,13,38
24,2023.06.01,1,2023.06.02,LS,10C,A,024A,2.9087,13,40
24,2023.06.01,1,2023.06.02,LS,25C,B,024B,2.8784,13,30
7,2023.06.01,1,2023.06.02,TD,10C,A,007A,2.0067,13,38
7,2023.06.01,1,2023.06.02,TD,25C,B,007B,2.8935,13,28
16,2023.06.01,1,2023.06.02,PE,10C,A,016A,5.5484,13,39
16,2023.06.01,1,2023.06.02,PE,25C,B,016B,3.9828,13,29
23,2023.06.01,1,2023.06.02,MG,10C,A,023A,4.5069,13,39
23,2023.06.01,1,2023.06.02,MG,25C,B,023B,5.1031,13,29
1,2023.06.01,1,2023.06.02,CC,25C,B,001B,4.1074,13,28
1,2023.06.01,1,2023.06.02,CC,35C,C,001C,3.7559,13,24
1,2023.06.01,1,2023.06.02,CC,35C,C,001C,3.7532,13,56
24,2023.06.01,1,2023.06.02,LS,35C,C,024C,3.7548,13,26
24,2023.06.01,1,2023.06.02,LS,35C,C,024C,3.7504,13,58
24,2023.06.01,1,2023.06.02,LS,45C,D,024D,2.927,13,20
24,2023.06.01,1,2023.06.02,LS,45C,D,024D,2.92,13,51
7,2023.06.01,1,2023.06.02,TD,35C,C,007C,5.2838,13,24
7,2023.06.01,1,2023.06.02,TD,35C,C,007C,5.2773,13,57
7,2023.06.01,1,2023.06.02,TD,45C,D,007D,1.6528,13,19
7,2023.06.01,1,2023.06.02,TD,45C,D,007D,1.6443,13,49
16,2023.06.01,1,2023.06.02,PE,35C,C,016C,4.5377,13,25
16,2023.06.01,1,2023.06.02,PE,35C,C,016C,4.5316,13,57
16,2023.06.01,1,2023.06.02,PE,45C,D,016D,4.0035,13,19
16,2023.06.01,1,2023.06.02,PE,45C,D,016D,3.9894,13,50
23,2023.06.01,1,2023.06.02,MG,35C,C,023C,4.3672,13,25
23,2023.06.01,1,2023.06.02,MG,35C,C,023C,4.3615,13,58
23,2023.06.01,1,2023.06.02,MG,45C,D,023D,5.5761,13,20
23,2023.06.01,1,2023.06.02,MG,45C,D,023D,5.5652,13,50
1,2023.06.01,1,2023.06.02,CC,45C,D,001D,4.1908,13,18
1,2023.06.01,1,2023.06.02,CC,45C,D,001D,4.1858,13,49
1,2023.06.01,1,2023.06.02,CC,55C,E,001E,4.4521,13,3
1,2023.06.01,1,2023.06.02,CC,55C,E,001E,4.4376,13,44
7,2023.06.01,1,2023.06.02,TD,55C,E,007E,3.0747,13,3
7,2023.06.01,1,2023.06.02,TD,55C,E,007E,3.0425,13,45
24,2023.06.01,1,2023.06.02,LS,55C,E,024E,2.8535,13,4
24,2023.06.01,1,2023.06.02,LS,55C,E,024E,2.8087,13,46
16,2023.06.01,1,2023.06.02,PE,55C,E,016E,8.0659,13,4
16,2023.06.01,1,2023.06.02,PE,55C,E,016E,8.0112,13,44
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.1083,13,9
14,2023.06.06,2,2023.06.07,CC,45C,D,014D,5.0955,13,42
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3715,13,12
14,2023.06.06,2,2023.06.07,CC,35C,C,014C,2.3683,13,45
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7482,13,8
9,2023.06.06,2,2023.06.07,TD,45C,D,009D,1.7377,13,42
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3452,13,11
9,2023.06.06,2,2023.06.07,TD,35C,C,009C,1.3402,13,45
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.114,13,8
8,2023.06.06,2,2023.06.07,MG,45C,D,008D,4.0918,13,41
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,5.0006,13,11
8,2023.06.06,2,2023.06.07,MG,35C,C,008C,4.9911,13,45
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9657,13,14
14,2023.06.06,2,2023.06.07,CC,25C,B,014B,2.9636,13,49
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5655,13,20
14,2023.06.06,2,2023.06.07,CC,10C,A,014A,5.5646,13,54
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.675,13,14
9,2023.06.06,2,2023.06.07,TD,25C,B,009B,2.6714,13,49
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2731,13,20
9,2023.06.06,2,2023.06.07,TD,10C,A,009A,3.2716,13,53
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.205,13,14
8,2023.06.06,2,2023.06.07,MG,25C,B,008B,4.201,13,48
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0457,13,19
8,2023.06.06,2,2023.06.07,MG,10C,A,008A,3.0423,13,53
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.9158,13,5
8,2023.06.06,2,2023.06.07,MG,55C,E,008E,4.8918,13,38
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,5.0142,13,5
9,2023.06.06,2,2023.06.07,TD,55C,E,009E,4.987,13,38
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.2953,13,6
14,2023.06.06,2,2023.06.07,CC,55C,E,014E,4.2805,13,39
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.2439,13,7
21,2023.06.06,2,2023.06.07,LS,55C,E,021E,4.1975,13,39
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5367,13,15
21,2023.06.06,2,2023.06.07,LS,25C,B,021B,3.5315,13,50
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8591,13,18
21,2023.06.06,2,2023.06.07,LS,10C,A,021A,4.8568,13,51
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.3291,13,6
17,2023.06.06,2,2023.06.07,PE,55C,E,017E,6.2928,13,39
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.1081,13,15
17,2023.06.06,2,2023.06.07,PE,25C,B,017B,5.106,13,50
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.4167,13,20
17,2023.06.06,2,2023.06.07,PE,10C,A,017A,6.417,13,55
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6369,13,9
17,2023.06.06,2,2023.06.07,PE,45C,D,017D,3.6286,13,43
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.1568,13,12
17,2023.06.06,2,2023.06.07,PE,35C,C,017C,8.147,13,46
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.0651,13,9
21,2023.06.06,2,2023.06.07,LS,45C,D,021D,3.0516,13,43
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7379,13,11
21,2023.06.06,2,2023.06.07,LS,35C,C,021C,2.7288,13,47
6,2023.06.13,3,2023.06.14,MG,10C,A,006A,2.987,13,32
6,2023.06.13,3,2023.06.14,MG,10C,A,006A,2.9864,13,56
6,2023.06.13,3,2023.06.14,MG,25C,B,006B,2.7564,13,29
6,2023.06.13,3,2023.06.14,MG,25C,B,006B,2.756,13,53
6,2023.06.13,3,2023.06.14,MG,35C,C,006C,3.6182,13,26
6,2023.06.13,3,2023.06.14,MG,35C,C,006C,3.6133,13,51
6,2023.06.13,3,2023.06.14,MG,45C,D,006D,4.4914,13,23
6,2023.06.13,3,2023.06.14,MG,45C,D,006D,4.4818,13,48
6,2023.06.13,3,2023.06.14,MG,55C,E,006E,3.2643,13,18
6,2023.06.13,3,2023.06.14,MG,55C,E,006E,3.2471,13,45
10,2023.06.13,3,2023.06.14,TD,10C,A,010A,2.2706,13,32
10,2023.06.13,3,2023.06.14,TD,10C,A,010A,2.2705,13,57
